Outlet_ID,Outlet_Size,Cooler_Count,Outlet_Type,__reject_reason__,__source_dataset__
OUT_04530,,1,Pharmacy,null_mandatory_field,outlet_master
OUT_04537,,0,Eatery,null_mandatory_field,outlet_master
OUT_04596,,2,Eatery,null_mandatory_field,outlet_master
OUT_04650,,1,Pharmacy,null_mandatory_field,outlet_master
OUT_04666,,3,Bakery,null_mandatory_field,outlet_master
OUT_04767,,0,Bakery,null_mandatory_field,outlet_master
OUT_04813,,5,Pharmacy,null_mandatory_field,outlet_master
OUT_05055,,1,SMMT,null_mandatory_field,outlet_master
OUT_05110,,1,Grocery,null_mandatory_field,outlet_master
OUT_05214,,1,SMMT,null_mandatory_field,outlet_master
OUT_05304,,1,SMMT,null_mandatory_field,outlet_master
OUT_05331,,5,SMMT,null_mandatory_field,outlet_master
OUT_05388,,2,Grocery,null_mandatory_field,outlet_master
OUT_05463,,1,Kiosk,null_mandatory_field,outlet_master
OUT_05476,,0,Bakery,null_mandatory_field,outlet_master
OUT_05507,,2,Grocery,null_mandatory_field,outlet_master
OUT_05697,,2,Eatery,null_mandatory_field,outlet_master
OUT_05705,,3,Grocery,null_mandatory_field,outlet_master
OUT_05851,,1,Grocery,null_mandatory_field,outlet_master
OUT_05957,,2,Pharmacy,null_mandatory_field,outlet_master
OUT_05996,,1,SMMT,null_mandatory_field,outlet_master
OUT_06007,,3,Hotel,null_mandatory_field,outlet_master
OUT_06131,,1,Pharmacy,null_mandatory_field,outlet_master
OUT_06291,,0, Eatery ,null_mandatory_field,outlet_master
OUT_06354,,2,Eatery,null_mandatory_field,outlet_master
OUT_06455,,1,Kiosk,null_mandatory_field,outlet_master
OUT_06591,,3,Bakery,null_mandatory_field,outlet_master
OUT_06592,,2,Bakery,null_mandatory_field,outlet_master
OUT_06689,,1,Pharmacy,null_mandatory_field,outlet_master
OUT_06715,,2,Eatery,null_mandatory_field,outlet_master
OUT_06862,,4,Bakery,null_mandatory_field,outlet_master
OUT_06987,,0,Eatery,null_mandatory_field,outlet_master
OUT_06998,,0,SMMT,null_mandatory_field,outlet_master
OUT_07205,,0,Bakery,null_mandatory_field,outlet_master
OUT_07217,,2,Grocery,null_mandatory_field,outlet_master
OUT_07224,,1,Eatery,null_mandatory_field,outlet_master
OUT_07339,,5,Eatery,null_mandatory_field,outlet_master
OUT_07369,,2,Hotel,null_mandatory_field,outlet_master
OUT_07675,,0,Grocery,null_mandatory_field,outlet_master
OUT_07829,,0,Grocery,null_mandatory_field,outlet_master
OUT_07942,,0,SMMT,null_mandatory_field,outlet_master
OUT_08086,,5,SMMT,null_mandatory_field,outlet_master
OUT_08229,,0,Kiosk,null_mandatory_field,outlet_master
OUT_08249,,0,Eatery,null_mandatory_field,outlet_master
OUT_08454,,0,Eatery,null_mandatory_field,outlet_master
OUT_08495,,1,Pharmacy,null_mandatory_field,outlet_master
OUT_08616,,1,SMMT,null_mandatory_field,outlet_master
OUT_08890,,1,Bakery,null_mandatory_field,outlet_master
OUT_09040,,0,Kiosk,null_mandatory_field,outlet_master
OUT_09226,,0,Pharmacy,null_mandatory_field,outlet_master
OUT_09239,,0,Pharmacy,null_mandatory_field,outlet_master
OUT_09467,,0,Pharmacy,null_mandatory_field,outlet_master
OUT_09468,,0,Eatery,null_mandatory_field,outlet_master
OUT_09623,,0,Bakery,null_mandatory_field,outlet_master
OUT_09730,,1,Eatery,null_mandatory_field,outlet_master
OUT_09950,,1,Hotel,null_mandatory_field,outlet_master
OUT_10031,,0,Kiosk,null_mandatory_field,outlet_master
OUT_10329,,3,Bakery,null_mandatory_field,outlet_master
OUT_10477,,3,Pharmacy,null_mandatory_field,outlet_master
OUT_10519,,2,Hotel,null_mandatory_field,outlet_master
OUT_10578,,0,Eatery,null_mandatory_field,outlet_master
OUT_10615,,2,Bakery,null_mandatory_field,outlet_master
OUT_10668,,1,Eatery,null_mandatory_field,outlet_master
OUT_10729,,1,Hotel,null_mandatory_field,outlet_master
OUT_11022,,5,SMMT,null_mandatory_field,outlet_master
OUT_11144,,2,SMMT,null_mandatory_field,outlet_master
OUT_11216,,1,Kiosk,null_mandatory_field,outlet_master
OUT_11270,,5,Grocery,null_mandatory_field,outlet_master
OUT_11334,,0, Eatery ,null_mandatory_field,outlet_master
OUT_11393,,4,Kiosk,null_mandatory_field,outlet_master
OUT_11548,,1,Pharmacy,null_mandatory_field,outlet_master
OUT_11612,,0,Pharmacy,null_mandatory_field,outlet_master
OUT_11687,,4,Grocery,null_mandatory_field,outlet_master
OUT_11708,,2,Grocery,null_mandatory_field,outlet_master
OUT_11734,,0,Bakery,null_mandatory_field,outlet_master
OUT_11739,,1,Bakery,null_mandatory_field,outlet_master
OUT_12163,,0,Hotel,null_mandatory_field,outlet_master
OUT_12407,,1,Kiosk,null_mandatory_field,outlet_master
OUT_12520,,2,Kiosk,null_mandatory_field,outlet_master
OUT_12534,,1,Bakery,null_mandatory_field,outlet_master
OUT_12545,,2,Grocery,null_mandatory_field,outlet_master
OUT_12610,,3,Bakery,null_mandatory_field,outlet_master
OUT_12661,,0,Grocery,null_mandatory_field,outlet_master
OUT_12669,,0,Hotel,null_mandatory_field,outlet_master
OUT_12715,,0,Pharmacy,null_mandatory_field,outlet_master
OUT_12727,,0,Pharmacy,null_mandatory_field,outlet_master
OUT_12818,,1,Eatery,null_mandatory_field,outlet_master
OUT_12880,,0,Pharmacy,null_mandatory_field,outlet_master
OUT_12957,,0,Grocery,null_mandatory_field,outlet_master
OUT_13512,,2,Eatery,null_mandatory_field,outlet_master
OUT_13803,,3,Bakery,null_mandatory_field,outlet_master
OUT_13885,,0,Pharmacy,null_mandatory_field,outlet_master
OUT_14136,,0,Eatery,null_mandatory_field,outlet_master
OUT_14184,,1,Bakery,null_mandatory_field,outlet_master
OUT_14347,,0,Eatery,null_mandatory_field,outlet_master
OUT_14559,,1,Eatery,null_mandatory_field,outlet_master
OUT_14569,,2,Hotel,null_mandatory_field,outlet_master
OUT_14652,,1,SMMT,null_mandatory_field,outlet_master
OUT_15403,,2,Eatery,null_mandatory_field,outlet_master
OUT_15499,,1,Kiosk,null_mandatory_field,outlet_master
OUT_15611,,4,Kiosk,null_mandatory_field,outlet_master
OUT_15617,,5,Kiosk,null_mandatory_field,outlet_master
OUT_15652,,0,SMMT,null_mandatory_field,outlet_master
OUT_15705,,4,Grocery,null_mandatory_field,outlet_master
OUT_15734,,1,SMMT,null_mandatory_field,outlet_master
OUT_15805,,1,Bakery,null_mandatory_field,outlet_master
OUT_15819,,2,Kiosk,null_mandatory_field,outlet_master
OUT_15860,,2,Hotel,null_mandatory_field,outlet_master
OUT_16052,,2,Grocery,null_mandatory_field,outlet_master
OUT_16109,,0,Kiosk,null_mandatory_field,outlet_master
OUT_16504,,1,Pharmacy,null_mandatory_field,outlet_master
OUT_16510,,0,Eatery,null_mandatory_field,outlet_master
OUT_16798,,0,Kiosk,null_mandatory_field,outlet_master
OUT_16845,,0,Hotel,null_mandatory_field,outlet_master
OUT_17046,,1,Hotel,null_mandatory_field,outlet_master
OUT_17075,,2,SMMT,null_mandatory_field,outlet_master
OUT_17217,,0,Grocery,null_mandatory_field,outlet_master
OUT_17219,,4,SMMT,null_mandatory_field,outlet_master
OUT_17466,,0,Grocery,null_mandatory_field,outlet_master
OUT_17544,,2,Kiosk,null_mandatory_field,outlet_master
OUT_17558,,1,Eatery,null_mandatory_field,outlet_master
OUT_17565,,4,Hotel,null_mandatory_field,outlet_master
OUT_17631,,0,Grocery,null_mandatory_field,outlet_master
OUT_17633,,5,Kiosk,null_mandatory_field,outlet_master
OUT_17641,,0,Hotel,null_mandatory_field,outlet_master
OUT_17913,,0,Kiosk,null_mandatory_field,outlet_master
OUT_17940,,0,Eatery,null_mandatory_field,outlet_master
OUT_17968,,1,Bakery,null_mandatory_field,outlet_master
OUT_18066,,0,Grocery,null_mandatory_field,outlet_master
OUT_18082,,1,Hotel,null_mandatory_field,outlet_master
OUT_18282,,4,Bakery,null_mandatory_field,outlet_master
OUT_18283,,1,Eatery,null_mandatory_field,outlet_master
OUT_18450,,0, Eatery ,null_mandatory_field,outlet_master
OUT_18516,,4,Hotel,null_mandatory_field,outlet_master
OUT_18543,,2,SMMT,null_mandatory_field,outlet_master
OUT_18812,,2,SMMT,null_mandatory_field,outlet_master
OUT_18920,,0,Kiosk,null_mandatory_field,outlet_master
OUT_18946,,1,Eatery,null_mandatory_field,outlet_master
OUT_19128,,0,Grocry,null_mandatory_field,outlet_master
OUT_19250,,0,Grocery,null_mandatory_field,outlet_master
OUT_19421,,1,Bakery,null_mandatory_field,outlet_master
OUT_19475,,1,SMMT,null_mandatory_field,outlet_master
OUT_19504,,2,Bakery,null_mandatory_field,outlet_master
OUT_19700,,2,SMMT,null_mandatory_field,outlet_master
OUT_19711,,0,Bakery,null_mandatory_field,outlet_master
OUT_19870,,0,Bakery,null_mandatory_field,outlet_master
OUT_19930,,0,Grocery,null_mandatory_field,outlet_master
OUT_19973,,2,Bakery,null_mandatory_field,outlet_master
